vaalipiiri;lyhenne;nimi;koodi
OUL;Asyl;Aito suomalainen yhteislista (asyl);ASYL
AHV;AFÅ;Alternativ för Åland - gemensam lista;AFÅ
HEL;EOP;Eläinoikeuspuolue;EOP 
UUS;EOP;Eläinoikeuspuolue;EOP
VAR;EOP;Eläinoikeuspuolue;EOP
PIR;EOP;Eläinoikeuspuolue;EOP
KES;EOP;Eläinoikeuspuolue;EOP
HEL;FP;Feministinen puolue;FP
UUS;FP;Feministinen puolue;FP
VAR;FP;Feministinen puolue;FP
SAT;FP;Feministinen puolue;FP
HÄM;FP;Feministinen puolue;FP
PIR;FP;Feministinen puolue;FP
KAA;FP;Feministinen puolue;FP
SKA;FP;Feministinen puolue;FP
VAA;FP;Feministinen puolue;FP
KES;FP;Feministinen puolue;FP
OUL;FP;Feministinen puolue;FP
LAP;FP;Feministinen puolue;FP
AHV;FÅ;För Åland, gemensam lista;FÅ
HEL;IP;Itsenäisyyspuolue;IP
UUS;IP;Itsenäisyyspuolue;IP
VAR;IP;Itsenäisyyspuolue;IP
PIR;IP;Itsenäisyyspuolue;IP
KAA;IP;Itsenäisyyspuolue;IP
SKA;IP;Itsenäisyyspuolue;IP
VAA;IP;Itsenäisyyspuolue;IP
OUL;IP;Itsenäisyyspuolue;IP
LAP;IP;Itsenäisyyspuolue;IP
AHV;E6;Jessica Jessy Eckerman;X6
HEL;E287;Jyrki Helminen;X287
HEL;KP;Kansalaispuolue;KP
UUS;KP;Kansalaispuolue;KP
HÄM;KP;Kansalaispuolue;KP
PIR;KP;Kansalaispuolue;KP
KAA;KP;Kansalaispuolue;KP
SKA;KP;Kansalaispuolue;KP
VAA;KP;Kansalaispuolue;KP
KES;KP;Kansalaispuolue;KP
OUL;KP;Kansalaispuolue;KP
HEL;KOK;Kansallinen Kokoomus;KOK
UUS;KOK;Kansallinen Kokoomus;KOK
VAR;KOK;Kansallinen Kokoomus;KOK
SAT;KOK;Kansallinen Kokoomus;KOK
HÄM;KOK;Kansallinen Kokoomus;KOK
PIR;KOK;Kansallinen Kokoomus;KOK
KAA;KOK;Kansallinen Kokoomus;KOK
SKA;KOK;Kansallinen Kokoomus;KOK
VAA;KOK;Kansallinen Kokoomus;KOK
KES;KOK;Kansallinen Kokoomus;KOK
OUL;KOK;Kansallinen Kokoomus;KOK
LAP;KOK;Kansallinen Kokoomus;KOK
